# degeneracy_audit_top20_SrTiO3.csv - scripts/audit_degeneracy_top20.py
# Top-20 |gamma_xy| modes of the production 300 K sum (eta_xyxy = 3.8862e-03 Pa s).
# Multiplets grouped by omega_tilde splitting < 2 cm-1 (mult_n_2cm1)
# and < 5 cm-1 (mult_n_5cm1). spread_* = intra-multiplet (max-min)/|mean|.
# sum_gamma2 = multiplet Sigma gamma^2; recon_dev = relative deviation of
# the common-prefactor reconstruction prefac*Sigma gamma^2 from the summed
# contribution. gauge_dev = |Sigma eig^2 - Sigma D_tracked^2|/Sigma D_tracked^2
# for the strain perturbation projected onto the bare-degenerate subspace
# (nan = isolated mode or bare splitting > 2 cm-1).
# Audited 9 distinct multiplets; max gauge_dev = 1.463e-01.
# Isolated top-20 modes at 2 cm-1 tolerance: 10.
rank,q_index,qx,qy,qz,branch,sector,omega0_cm1,omega_tilde_cm1,gruneisen_xy,tau_s,eta_contrib_Pas,contrib_percent,mult_n_2cm1,mult_n_5cm1,mult_branches_2cm1,spread_omega,spread_nn1,spread_tau,sum_gamma2,recon_dev,gauge_dev
1,232,0.0909,0.9091,0.0909,1,routeH_stable,35.7871,77.2081,20.0546,1.520164e-12,3.188111e-05,0.820,2,2,"1;2",0.000e+00,0.000e+00,0.000e+00,409.1292,0.000e+00,1.409e-01
2,241,0.0909,0.9091,0.9091,1,routeH_stable,35.7871,77.2081,20.0546,1.520164e-12,3.188111e-05,0.820,2,2,"1;2",0.000e+00,0.000e+00,0.000e+00,409.1292,0.000e+00,1.409e-01
3,1222,0.9091,0.0909,0.0909,1,routeH_stable,35.7871,77.2081,20.0546,1.520164e-12,3.188111e-05,0.820,2,2,"1;2",0.000e+00,0.000e+00,0.000e+00,409.1292,0.000e+00,1.409e-01
4,1231,0.9091,0.0909,0.9091,1,routeH_stable,35.7871,77.2081,20.0546,1.520164e-12,3.188111e-05,0.820,2,2,"1;2",0.000e+00,0.000e+00,0.000e+00,409.1292,0.000e+00,1.409e-01
5,133,0.0909,0.0909,0.0909,2,routeH_stable,35.7871,77.2081,-19.8446,1.520164e-12,3.121694e-05,0.803,2,2,"1;2",0.000e+00,0.000e+00,0.000e+00,400.7732,0.000e+00,1.463e-01
6,142,0.0909,0.0909,0.9091,2,routeH_stable,35.7871,77.2081,-19.8446,1.520164e-12,3.121694e-05,0.803,2,2,"1;2",0.000e+00,0.000e+00,0.000e+00,400.7732,0.000e+00,1.463e-01
7,1321,0.9091,0.9091,0.0909,2,routeH_stable,35.7871,77.2081,-19.8446,1.520164e-12,3.121694e-05,0.803,2,2,"1;2",0.000e+00,0.000e+00,0.000e+00,400.7732,0.000e+00,1.462e-01
8,1330,0.9091,0.9091,0.9091,2,routeH_stable,35.7871,77.2081,-19.8446,1.520164e-12,3.121694e-05,0.803,2,2,"1;2",0.000e+00,0.000e+00,0.000e+00,400.7732,0.000e+00,1.463e-01
9,231,0.0909,0.9091,0.0000,2,routeH_stable,20.7891,99.2837,17.5178,1.520164e-12,2.414525e-05,0.621,1,1,"2",0.000e+00,0.000e+00,0.000e+00,306.8726,0.000e+00,nan
10,1221,0.9091,0.0909,0.0000,2,routeH_stable,20.7891,99.2837,17.5178,1.520164e-12,2.414525e-05,0.621,1,1,"2",0.000e+00,0.000e+00,0.000e+00,306.8726,0.000e+00,nan
11,132,0.0909,0.0909,0.0000,2,routeH_stable,20.7891,99.2837,-17.4011,1.520164e-12,2.382458e-05,0.613,1,1,"2",0.000e+00,0.000e+00,0.000e+00,302.7970,1.422e-16,nan
12,1320,0.9091,0.9091,0.0000,2,routeH_stable,20.7891,99.2837,-17.4011,1.520164e-12,2.382458e-05,0.613,1,1,"2",0.000e+00,0.000e+00,0.000e+00,302.7970,1.422e-16,nan
13,0,0.0000,0.0000,0.0000,1,gamma_sector,-79.5015,88.9641,14.6237,2.349688e-13,2.610481e-06,0.067,2,2,"1;2",0.000e+00,0.000e+00,0.000e+00,426.0901,0.000e+00,1.277e-02
14,0,0.0000,0.0000,0.0000,2,gamma_sector,-79.5015,88.9641,-14.5684,2.349688e-13,2.590754e-06,0.067,2,2,"1;2",0.000e+00,0.000e+00,0.000e+00,426.0901,0.000e+00,1.277e-02
15,533,0.3636,0.3636,0.4545,1,routeH_stable,36.9579,77.5808,-12.7145,1.520164e-12,1.281320e-05,0.330,1,1,"1",0.000e+00,0.000e+00,0.000e+00,161.6584,1.322e-16,nan
16,534,0.3636,0.3636,0.5455,1,routeH_stable,36.9579,77.5808,-12.7145,1.520164e-12,1.281320e-05,0.330,1,1,"1",0.000e+00,0.000e+00,0.000e+00,161.6584,1.322e-16,nan
17,929,0.6364,0.6364,0.4545,1,routeH_stable,36.9579,77.5808,-12.7145,1.520164e-12,1.281320e-05,0.330,1,1,"1",0.000e+00,0.000e+00,0.000e+00,161.6584,1.322e-16,nan
18,930,0.6364,0.6364,0.5455,1,routeH_stable,36.9579,77.5808,-12.7145,1.520164e-12,1.281320e-05,0.330,1,1,"1",0.000e+00,0.000e+00,0.000e+00,161.6584,1.322e-16,nan
19,132,0.0909,0.0909,0.0000,4,routeH_stable,70.4594,114.4720,-12.4357,2.900261e-12,2.307135e-05,0.594,1,1,"4",0.000e+00,0.000e+00,0.000e+00,154.6476,0.000e+00,nan
20,1320,0.9091,0.9091,0.0000,4,routeH_stable,70.4594,114.4720,-12.4357,2.900261e-12,2.307135e-05,0.594,1,1,"4",0.000e+00,0.000e+00,0.000e+00,154.6476,0.000e+00,nan
